Top by Frequency,Top by Degree Centrality,Top by Betweenness Centrality,Top by Closeness Centrality,Top by Eigenvector Centrality
Misinformation,Misinformation,Deepfakes,Misinformation,Misinformation
Job displacement,Job displacement,Misinformation,Job displacement,Job displacement
Deepfakes,Deepfakes,Job displacement,Deepfakes,Privacy
No concerns,Privacy,Privacy,Privacy,Deepfakes
Bad actors,Bad actors,Security,Bad actors,Bad actors
Privacy,Regulation,Bad actors,Regulation,Regulation
Bias,Security,Regulation,Security,Security
Decreasing human connection,Bias,No concerns,Bias,Bias
Regulation,Economy,Bias,Decreasing human connection,Economy
Security,Decreasing human connection,Decreasing human connection,Economy,Decreasing human connection
